juan@pera.com,Python
lucas@pera.com,JavaScript
gabi@gmail.com,Prolog
asd@asdasd.com,Prolog
dasasd@gmail.com,Prolog
dassasd@gmail.com,Prolog
dasaasd@gmail.com,Prolog
dasas3d@gmail.com,Prolog
dasas2d@gmail.com,Prolog
dasas32d@gmail.com,Prolog
dasa1sd@gmail.com,Prolog
dasas5d@gmail.com,Prolog
dasas9d@gmail.com,Prolog
da1sasd@gmail.com,Prolog
daassasd@gmail.com,Prolog
dasasd6@gmail.com,Prolog
d2asasd@gmail.com,Prolog
dasa11sd@gmail.com,Prolog
dasasd65@gmail.com,Prolog
dasasd86@gmail.com,Prolog
1dasasd@gmail.com,Prolog
21dasasd@gmail.com,Prolog
22dasasd@gmail.com,Prolog
32dasasd@gmail.com,Prolog
42dasasd@gmail.com,Prolog
pablo@hola.com,JavaScript
juan2@pera.com,Prolog
juan22@pera.com,Prolog
java@pera.com,Java
